,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
Ti,0.11887830502902526,0.1488061434836287,-0.07375943819247885,0.30990197129017955,-0.22784468687862,0.012371081464225176,-0.2629274343211017,0.1139740235974998,-0.2944248793866011,-0.33302794198971974,-0.12801773173079414,-0.24506241819880692,0.017737399545476144,-0.18025429713095856,0.042636161011034006,-0.086873360723132,-0.3100943483531217,-0.03897838774957424,0.026168762816088778,-0.04070789898960613,-0.23399076264438598,-0.1772327019443045,-0.1766218253682472,-0.06362454136538785,-0.200988478661912,0.16993855673433508,-0.08576623092271314,0.07860010696949388,0.06896023546269327,-0.03749617663666935,0.25752935627166335,0.1874317726180478
钛,-0.2718455538003334,-0.22661697507331743,-0.01212897102888128,0.3373511081137011,-0.16929658563269492,-0.07727542002565513,0.14936158108715875,0.24030566956411323,-0.25014555343950984,0.23526365943303826,-0.19061715208157679,0.05780736927940689,0.1995781710007144,-0.19010122769717094,0.03824937839347927,-0.30376217480116596,0.12954275336690754,0.10792036888820765,0.08452191270919959,-0.1840291048512162,-0.04122089223903131,0.2564588156390899,0.16713703669225047,-0.06575678586269687,-0.006188850531525702,0.16171268216154908,-0.10485506261896713,0.02478811860643642,-0.0022335036398026453,-0.20951804174543123,-0.22145312208381682,0.1374413517603448
Al,0.08077785435760483,0.17398085784917536,0.33424076972281613,0.11715405428679274,-0.11726842529463016,0.20278146939446687,0.14852727364980606,-0.177019826324727,-0.1718001550383191,-0.15895651304696104,-0.3687891203040185,-0.23285876211733242,0.28843800865162383,-0.1662732850704055,-0.0284842661428956,-0.005846874754923126,-0.03891762656335885,0.18104019120907086,-0.0019279419348237092,-0.03230336988031766,-0.3224757104298473,0.059844850142721236,-0.0489484290946748,0.2962690640076203,-0.061386223922151595,-0.09031886240965438,-0.18608104345155219,0.019480437164418815,-0.11634972336170356,-0.07680516249308303,0.23775977946965643,-0.12968067429484156
铝,-0.15371299484534587,0.11218415825694836,0.19949127224353655,0.09139526333892996,-0.2624152868039826,0.07488516190080018,-0.06748275569750325,-0.36516899322062757,0.2767339591177594,-0.25754155653983984,0.1704778992988259,0.0890910130718449,0.024424877175028274,-0.10820833017062569,0.1331747689795369,-0.002422421241263751,0.2444727459445869,0.24118678631237728,0.008921437691715963,-0.23148231268578578,-0.022914325460594877,0.1679456462917365,-0.13562976183206046,-0.03395493980227121,-0.1956329175169502,-0.15822790348704627,-0.1773968346020662,-0.2599558623284476,-0.18933835295584356,0.05114535477550906,-0.2206487557954049,-0.15466890464903021
V,0.29274829847325234,0.06346496396960616,0.2498909111319676,0.3049896214935752,-0.2484291446158396,0.0624548905992328,-0.11724867938002306,0.21442343641749337,-0.21171434953951862,-0.26915423159705426,0.07764368155618297,0.2024915941228005,-0.17640191077217152,-0.05791338159430549,0.02126638217226681,0.16465965205712174,-0.17909731983242064,0.12694151977801563,0.2472027868484966,0.07162618170375093,-0.04373952325252556,-0.3006993571149333,-0.031240436473587953,0.06925195051909641,-0.047044094056655175,0.060528060282365875,-0.13600664625948394,0.020391832027702776,-0.1118057184579567,-0.27405968941767167,0.2431757729414642,-0.1380597049791726
钒,-0.03148151972314934,0.19396654426680496,0.14835627280381206,0.02636841857764621,-0.37835146692939575,0.14587676695971458,0.09994783202488684,-0.26583874932205975,0.17475261225258432,-0.1728892473346536,-0.08827865005264575,0.30216662165330754,-0.026469638166197868,-0.22211938571500844,0.0284503449879201,0.1379175151027722,0.200206251552365,-0.11256047177043496,0.12012078906722685,0.08768958573309285,0.24213739621646488,-0.16717463995863274,-0.015793276255881828,0.2296973614815864,0.17863871739018417,-0.13475993905285,-0.09588842652147105,-0.05823179701147099,-0.28361168953665267,0.2724557165250642,-0.1654235274573135,0.07104076936577054
Mo,0.3421067981594628,0.20267462178481865,-0.2815948909816741,-0.005769999385934042,-0.1464399158296607,-0.06085001270070674,0.21199770586925537,-0.11349272029725903,-0.309261829213292,-0.18110206568597398,-0.021291432122011435,0.19402759162524114,0.09617362036019951,0.2873172259822962,0.062116135633020216,-0.07013831681425556,-0.14993219868718624,-0.10234416146487434,-0.2834036491990518,0.2733395748671315,-0.04652133326164341,-0.06330942007491852,-0.024192294557256126,0.2434922746122684,0.08490587470879571,0.02694340992328886,-0.16767921269369493,-0.08570418579227598,0.24938652748980109,0.14751325660342532,0.05958730612413141,0.16593251352500576
钼,0.2845405501252395,0.33182513834440514,-0.31355791910491204,0.21019796708386113,0.089760027871632,0.08909435678325338,0.2585245173371895,-0.3423654970348018,0.012632379494301103,-0.17231808339972365,-0.10085883100247786,0.236832972504812,-0.12718699521922672,0.01473168412806441,-0.0501848552195476,-0.0896632595999834,-0.23231541298711458,-0.09680785284625226,0.053897333882711944,0.08426244547641495,-0.05016189834842389,-0.2044743801418148,-0.07552177528035428,0.13949642863879685,0.16155900851832433,0.17494036495124185,0.0700247395116848,0.10138649675245683,-0.06105671658687787,0.09467301194743763,0.1986580544271991,0.2764708116635473
Nb,0.1346871815063816,-0.2756073987809782,0.027921141833792174,0.10196084220211718,-0.15845792361566488,-0.11079595016368453,0.2638687929390967,0.1359769560301417,-0.14629225528287593,0.11356075791717637,-0.35793239692314827,-0.2899123968430522,-0.014114457446400447,-0.16039531927558454,-0.19826249380733318,0.3213219753451482,0.15117034708902807,-0.15782730744500056,0.20864199389698332,0.023343067370332822,-0.015277177137330962,0.07614759223773401,-0.07083850461860472,-0.04126735509877518,-0.0679869038897568,-0.26608305629640844,0.19008382439619684,-0.16275628751386972,-0.10617808192367577,-0.2681436930244311,-0.07942212000986579,0.1488670232855306
铌,-0.2369771894180874,0.043088969744636586,-0.24989731427161208,0.2149593093449474,-0.011811134082100995,-0.17352409042902742,0.09283712956989998,0.10050744247928745,0.013992277746948285,0.20666732311015287,-0.24081853604372633,-0.2235203243186404,-0.1408882170026694,-0.24633651855112296,-0.007526090958754204,0.2641703673174445,0.1530770387243834,0.25662641258956653,0.1512656800546247,0.12978579246509575,0.2803647841281415,0.18867914797519375,0.22813193307019305,-0.08050443522541825,0.1704837710736498,0.050815901152808,0.2041189282024921,-0.055118229906434196,-0.09712139249517632,0.22219157416495044,-0.015805585929239453,0.21442199044569205
Zr,0.06511244394254173,-0.33909149926629767,-0.19022427827086993,-0.18699756765271022,0.3116018995052932,-0.07483563822088203,0.047428046259786236,-0.17087478278964569,-0.2798241138644882,0.19119659692736693,-0.22792761563652503,0.06790629158173743,0.04299695968832767,0.09285240316333815,-0.04177556068034114,0.2822748809135027,0.10053798217986958,0.12843647355668988,-0.1753685008147625,-0.16817702186627753,-0.20726737777636836,-0.09996309556951102,-0.2790544614169454,-0.24682199121435258,-0.047051518070761335,-0.23872739178902183,-0.07612360792978082,0.018107338968360004,-0.1045670639104875,0.02618132347365043,-0.00948676166349213,0.2402963772112521
锆,0.21151516367473985,-0.0883092648264111,-0.27503263126387606,-0.08853976987247365,0.1663835175684302,0.21462574539702245,0.05334731710615511,-0.017780907356239346,-0.18890413240313536,0.32515173764399696,0.22653272536107524,-0.06701382755691214,0.12894617813659012,0.06486023558375233,0.08444168542562,-0.18537850751301138,-0.06026085768462371,0.0560883249703572,0.28049624828752723,-0.26937401145715845,0.007399208838716904,0.09610622259491626,-0.2139599053899204,0.09500057387524012,0.11337189177973421,0.07838274896654947,-0.015341996201006802,-0.34304293785776135,0.0764653077573778,0.37793835456130737,0.13554880878123265,0.03799081540248084
