head,relation,tail,confidence
Ti-6Al-4V,related_to,Ti-3Al-2.5V,2.730717679880512
beta,related_to,high_strength,1.4426950408889634
high_temperature,related_to,alpha_beta,1.4426950408889634
Ti-6Al-2Sn-4Zr-2Mo,related_to,Ti-6Al-4V,1.4426950408889634
Ti,related_to,Al,1.2426698691192237
Ti,related_to,V,1.2426698691192237
Al,related_to,V,1.2426698691192237
钛,related_to,Ti-3Al-2.5V,0.9102392266268373
钛,related_to,Ti-6Al-4V,0.9102392266268373
铝,related_to,Ti-6Al-4V,0.9102392266268373
铝,related_to,Ti-3Al-2.5V,0.9102392266268373
钒,related_to,Ti-3Al-2.5V,0.9102392266268373
钒,related_to,Ti-6Al-4V,0.9102392266268373
tubing,related_to,alpha,0.6213349345596119
tubing,related_to,Ti,0.6213349345596119
tubing,related_to,Al,0.6213349345596119
tubing,related_to,V,0.6213349345596119
Ti,related_to,alpha,0.6213349345596119
Ti,related_to,alpha_beta,0.6213349345596119
Ti,related_to,aerospace,0.6213349345596119
Al,related_to,alpha,0.6213349345596119
Al,related_to,alpha_beta,0.6213349345596119
Al,related_to,aerospace,0.6213349345596119
aerospace,related_to,alpha_beta,0.6213349345596119
aerospace,related_to,V,0.6213349345596119
alpha,related_to,V,0.6213349345596119
alpha_beta,related_to,V,0.6213349345596119
