,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Ti,0.04967141530112327,-0.013826430117118467,0.06476885381006925,0.15230298564080255,-0.023415337472333597,-0.023413695694918055,0.15792128155073915,0.07674347291529088,-0.04694743859349521,0.05425600435859647,-0.046341769281246226,-0.04657297535702569,0.02419622715660341,-0.1913280244657798,-0.1724917832513033,-0.05622875292409727,-0.10128311203344238,0.03142473325952739,-0.0908024075521211,-0.14123037013352915,0.14656487689215542,-0.02257763004865357,0.006752820468792384,-0.14247481862134567,-0.05443827245251827,0.01109225897098661,-0.11509935774223029,0.0375698018345672,-0.0600638689918805,-0.02916937497932768,-0.060170661222939695,0.18522781845089378,-0.0013497224737933921,-0.10577109289559004,0.08225449121031891,-0.12208436499710223,0.020886359500475543,-0.19596701238797756,-0.13281860488984307,0.019686123586912352,0.07384665799954104,0.01713682811899705,-0.011564828238824054,-0.03011036955892888,-0.14785219903674274,-0.07198442083947086,-0.046063877095978756,0.10571222262189157,0.03436182895684614,-0.1763040155362734,0.0324083969394795,-0.038508228041631655,-0.06769220003059588,0.06116762888408679,0.1030999522495951,0.09312801191161986,-0.08392175232226386,-0.03092123758512146,0.033126343140356396,0.09755451271223592,-0.047917423784529,-0.01856589766638171,-0.11063349740060283,-0.11962066240806708,0.08125258223941981,0.1356240028570823,-0.007201012158033385,0.10035328978920242,0.036163602504763415,-0.06451197546051243,0.036139560550841394,0.15380365664659693,-0.003582603910995154,0.15646436558140064,-0.26197451040897446,0.08219025043752239,0.008704706823817123,-0.029900735046586746,0.00917607765355023,-0.1987568914600893,-0.021967188783751194,0.035711257151174645,0.14778940447415162,-0.05182702182736474,-0.08084936028931877,-0.05017570435845366,0.09154021177020742,0.03287511096596845,-0.05297602037670388,0.05132674331133561,0.009707754934804039,0.09686449905328892,-0.07020530938773524,-0.032766214659776825,-0.03921081531321577,-0.14635149481321186,0.029612027706457607,0.026105527217988936,0.000511345664246089,-0.023458713337514692,-0.14153707420504144,-0.04206453227653591,-0.03427145165267695,-0.0802277269221619,-0.016128571166600915,0.040405085681453845,0.18861859012105303,0.017457781283183895,0.02575503907227644,-0.007444591576616722,-0.19187712152990416,-0.002651387544921688,0.006023020994102644,0.24632421124852863,-0.019236096478112252,0.03015473423336125,-0.0034711769705243313,-0.11686780376195322,0.11428228145150206,0.07519330326867742,0.0791031947043047,-0.09093874547947389,0.14027943109360994,-0.1401851062792281,0.05868570938002703,0.21904556258099786,-0.09905363251306884,-0.05662977296027719
钛,0.009965136508764122,-0.05034756541161992,-0.15506634310661327,0.006856297480602733,-0.10623037137261049,0.04735924306351816,-0.09194242342338033,0.15499344050175395,-0.07832532923362372,-0.03220615162056756,0.08135172173696698,-0.12308643164339553,0.022745993460412943,0.13071427542824282,-0.16074832345612278,0.018463385853230423,0.025988279424842355,0.07818228717773104,-0.1236950710878082,-0.13204566130842763,0.05219415656168977,0.029698467323318607,0.025049285034587657,0.03464482094969757,-0.06800247215784909,0.023225369716100355,0.029307247329868127,-0.07143514180263678,0.18657745111447566,0.04738329209117875,-0.11913034972026487,0.06565536086338297,-0.09746816702273214,0.07870846037424521,0.11585955790074041,-0.08206823183517105,0.09633761292443219,0.041278092693649834,0.082206015999449,0.18967929826539476,-0.02453881160028705,-0.07537361643574897,-0.08895144296255234,-0.08158102849654383,-0.007710170941410421,0.03411519748166439,0.027669079933001908,0.08271832490360238,0.001300189187790702,0.1453534077157317,-0.02646568332379561,0.2720169166589619,0.06256673477650063,-0.08571575564162826,-0.10708924980611123,0.04824724152431853,-0.02234627853258509,0.0714000494092092,0.047323762457354486,-0.007282891265687277,-0.0846793718068405,-0.15148472246858646,-0.04465149520670211,0.08563987943234724,0.021409374413020398,-0.12457387787119881,0.0173180925851182,0.03853173797288368,-0.08838574362011331,0.015372510594552791,0.00582087184459999,-0.11429702978306232,0.03577873603482833,0.05607845263682344,0.1083051243175277,0.1053802052034903,-0.13776693679570912,-0.09378250399151228,0.05150352672086598,0.051378595091220884,0.0515047686306048,0.38527314906547216,0.0570890510693167,0.1135565640180599,0.09540017634932024,0.0651391251305798,-0.031526924464034566,0.07589692204932674,-0.07728252145375719,-0.02368186067400089,-0.04853635478291035,0.008187413938632256,0.23146585666735087,-0.18672651925917483,0.06862601903745134,-0.16127158711896517,-0.04719318657894335,0.10889505969673662,0.006428001909546278,-0.10777447779293062,-0.07153037092599683,0.06795977489346759,-0.07303666317171367,0.021645858958197487,0.004557183990381379,-0.06516003476058171,0.2143944089325326,0.06339190223180112,-0.20251425866576073,0.018645431476942764,-0.0661786464768388,0.0852433334796224,-0.07925207384327007,-0.011473644146689901,0.050498727898045714,0.08657551941701215,-0.12002964070557763,-0.03345012358409484,-0.04749453111609562,-0.0653329232573712,0.1765454240281097,0.040498171096095555,-0.12608839543350453,0.09178619470547761,0.21221561970126335,0.1032465260551147,-0.15193699659540136,-0.04842340728662514
Al,0.15043517082415528,0.0507057929290089,0.04490908800276987,0.09718949861800977,-0.0060372567821559975,-0.019078810724198227,0.1757047289789006,0.08632234272499537,-0.021635389128198908,0.12662128932818678,-0.01793660902481392,-0.09905575030252275,0.09232436979222601,-0.10929729629136542,-0.014888946525699026,-0.11240345458607717,-0.08913901137592864,-0.07268020189992197,-0.06314494973316065,-0.1686403850418678,0.24273716663340308,-0.06130837854958267,-0.0777063314295707,-0.16603800565647164,-0.15321266101337516,0.04864723169635212,-0.21835351005504633,0.038992680893725144,-0.16395445998469033,-0.04518426520615977,0.021998246567287008,0.20326021302268354,-0.04452440272204009,-0.10733126734254424,0.08315533481254124,-0.09845284770493196,-0.04745655866356578,-0.16633864869561102,-0.26803818646998184,-0.011808104031278167,0.04943296587696381,0.04880316942255898,-0.010433285604980597,-0.10038852225174322,-0.1971018553275935,-0.06205042036210052,-0.05001724418920657,0.07675601714010424,0.010320139481247173,-0.14149561567830893,0.006523768296018764,-0.04291279024308532,0.04080462937343127,-0.010016502960109364,0.010507815670862161,0.13230749515155021,-0.11785390538696902,-0.04683311397225247,-0.005931475766199318,0.08456450567386029,0.03200948182028808,0.021540525264524255,-0.06752232180625398,-0.19043201519769937,0.023694895411776343,-0.006329930117189075,-0.04767005321217109,0.14818844910848533,0.062010928292181966,-0.07558763860811862,0.03502454636493874,0.11935937951782664,0.006655340209094054,0.1947582795554314,-0.3427688497794981,0.09717263482938979,0.05532645037155049,-0.05065574949475522,0.04421110825957942,-0.05802416923646164,-0.02718432843309579,0.055376609651440825,0.11088655029108205,-0.04276446369726222,-0.05783577904020358,-0.04043358734494675,0.04055544578476458,0.04319319953224099,0.020133776559177967,0.07375853153706198,0.05780711438839609,0.08501390055265753,-0.03271029741654971,-0.018802822748950527,-0.08675635179757737,-0.13042544457326813,-0.019972805465557922,-0.005538486526250663,0.009977761028864796,-0.008596499668508489,-0.2009986974588979,0.010634756282607905,-0.005671137737653303,-0.1154641487027061,-0.09300781098905969,0.03315985672738228,0.16632140442799503,0.023114804135835037,0.007599206014498112,-0.10781743461386722,-0.21129446844496208,-0.017932343098337338,0.03770607223280558,0.21141422751797614,0.06469763719051606,-0.06542729329922661,0.06208719791960689,-0.12808375230585844,0.15726152506867985,0.07918337747161407,0.13608097150557816,-0.11030684370711445,0.08534840983471932,-0.06915989191567493,0.05301167708591997,0.23012348626220838,-0.03731603681082908,-0.10822753506499894
铝,-0.07591326615536981,0.015039378647620763,0.034175597577715947,0.18761708392158863,0.09504238381860503,-0.05769036556624031,-0.0898414671348358,0.04919191715065058,-0.1320233207020642,0.18314587658543538,0.1179440120721287,-0.04691756521047048,-0.17131345290908775,0.1353872374165413,-0.01145398452526179,0.12378163119734618,-0.15944276587943673,-0.05993750229537729,0.0005243699718183166,0.004698059376474206,-0.04500654714792437,0.062284993234749876,-0.10676204293825944,-0.01423794850212935,0.012029563171189887,0.051443883405874906,0.07116148780888898,-0.11246420918378693,-0.15341141707356223,0.1277676821898509,0.033231401197959164,-0.07484865365565536,0.1551151975522523,0.011567463429285867,0.11792971840638265,0.006751848141010895,0.2060747924881987,0.17553408424432046,-0.02489641484790735,0.09715709509543555,0.06453759495851476,0.13686315575323488,-0.09649234605801045,0.06860514599984394,0.10584244868495879,-0.17587394864231143,-0.11832585126657752,-0.20392321777601008,-0.026940683444455778,0.07175422557959624,0.15023570520960283,0.007409478041977519,0.1628615545571292,-0.13801014582148916,-0.17033824393551547,-0.005554769889661878,0.03840654489393073,-0.0032694748094093114,-0.20674421000398768,-0.00891200395127884,-0.13044695005048532,0.06696725488300385,0.03665982460968483,-0.09398797863273553,-0.05138669173366936,-0.10592135218889516,-0.006267909727317188,0.09551423205012383,-0.09857260463355438,0.050404651551784446,-0.053025761837244084,-0.07928728322623442,-0.010703035995455783,-0.10352423224193741,-0.05536493053471821,-0.11978778925888485,0.19647251329163895,0.0035263551971728615,-0.06997255079925856,0.021397991073422204,-0.011232804969082983,-0.0220969599533223,0.061416670004342526,0.07575077100473052,-0.05305011476105275,-0.057581824064468004,-0.027505169715164403,-0.2301921164735585,-0.15151910621985523,0.13668742674445247,0.16449677135012838,-0.024903603955637833,0.05765569630557665,0.031125015454353613,0.30788808084552377,0.11195749114345768,-0.012791759148076655,-0.09555404406004259,-0.16064463202575727,0.020346363586722312,-0.07563507452843034,-0.14222537095976742,-0.06465728842425265,-0.1081548003614395,0.1687141635072565,0.08816397569494505,-0.0007972641316617373,0.14799441388900259,0.00773683076476183,-0.08612842013282637,0.15231240772696575,0.05389100436846587,-0.10372461543264565,-0.01903386780836082,-0.08756182533847573,-0.1382799730964336,0.09261775475316414,0.19094166404701307,-0.13985675738191414,0.056296923669057086,-0.06506425691218269,-0.048712538376469605,-0.05923939242388692,-0.0863990769679816,0.004852162794482699,-0.08309501164110378,0.027045682577983884,-0.005023810944913696
V,0.07944596018308614,-0.043321167940263014,0.058160386027850654,0.15591693391001699,-0.09842643054468041,-0.0623555478359398,0.2254749261713961,0.12105303234453066,-0.05007941745985696,0.06641217728424112,-0.06105389456306911,0.02125619393437342,0.014178598266895217,-0.1797359198590374,-0.11519027604420004,-0.0950973271663926,-0.02334365280859768,-0.045098337227641457,-0.009320300996481165,-0.15986414933112789,0.13442993950089133,-0.11707813860780072,-0.015986915400092262,-0.1944651451726899,-0.0848205897211919,0.004226710681542629,-0.067209777018585,0.04794996940459849,-0.04468003632182481,-0.0839453444216058,-0.1042083657030762,0.2751640693684594,-0.03810977421195572,-0.022960680292725258,0.07010143126627559,-0.12196996818992703,0.07440461751197203,-0.13237239129104472,-0.13835923290379745,0.0002739709108354055,0.07105063557343039,0.03403470453060296,0.03300035610466372,-0.029898876609221303,-0.11690788413558506,0.009933565774076183,-0.026998396482739523,0.1212948654221305,-0.041583712297657255,-0.3078405223777266,0.05182718340098792,-0.04324943960567527,-0.09343133377633298,0.07334413909340402,0.10007976578974968,0.14951702444331477,-0.07961620890931496,-0.06826740183862984,0.08263465508832085,0.0866979589649258,-0.021590589600913642,-0.04243643297602173,-0.14312484167547465,-0.11541225089878228,0.08189401441660406,0.15961535462542395,-0.020633299823520513,0.008535300600682555,0.01452490832534398,-0.024821052103321646,0.021270756588686074,0.14148448652086953,0.0457362213843017,0.1208657042184545,-0.33911467132111944,0.07415869446124766,-0.015503990738619728,-0.07821305103424944,0.000407154858615694,-0.1741816090977501,-0.02243161686214198,0.051060310785486535,0.2384597893999228,-0.06897096490524295,-0.0669319285570853,-0.07563637248841039,0.049222225775858774,0.0036297282950799557,-0.0769139489527883,0.06930053318869189,0.12716154426984191,0.0610623272394969,-0.09103657466850837,-0.03592236531533924,-0.019420872877728413,-0.13317395421547262,0.09381681740386347,-0.09521407630877148,-0.11883514784553756,-0.048252621938022155,-0.086672064827856,-0.12034693385681573,-0.18465306863736483,-0.05166875661120146,-0.0039457099814651925,-0.014105334658517647,0.13934161008500653,-0.03102940469854983,0.03128180494597345,-0.03876035538576707,-0.16717392558112817,-0.14538272069014124,-0.036819572262287326,0.1900215132029761,-0.032053130396736865,0.0032523463088543203,0.036421012024263996,-0.20983464234495608,0.11655685526803966,0.10311012442926269,0.17193556653240244,-0.11502704403414765,0.1565023613112358,-0.23037824590734635,-0.06091210083562416,0.26128428137008286,-0.09933164719547237,0.00229586152964395
钒,-0.033578469929012825,0.1669021525289393,-0.02595913513636048,-0.15031429531181062,-0.024574306408594433,-0.02727235697476705,-0.26968866429415717,-0.005429486651781221,-0.023093453020867797,0.06962063648134184,0.18489560949453454,0.11265650295477575,-0.02688886905548306,-0.11065259087416704,0.25733598032498606,0.005921843401448826,0.0013929291912946203,-0.002412508711000328,0.019808476076785497,-0.014436041192394248,-0.05736620068802363,-0.054685894124039215,-0.003275327021599839,-0.0543424771133765,-0.07128457826771643,0.010643022769189684,-0.02549772174208553,0.15039929885826886,-0.2650969808393012,0.10915068519224619,0.1246085192497629,-0.20733902324081496,-0.03426875940803488,-0.03714408659957915,-0.14075116947178212,-0.07778166875908754,-0.11105758454658288,0.17522704434236228,0.09356783931474612,0.12715550949941587,0.07216720640432352,-0.11290517712172293,-0.05245202662797737,0.04893745612279181,-0.12221278088919454,0.07129984301723881,-0.024032539815813506,-0.037482080754959755,0.07109599682034916,0.044426331148603976,-0.03609661658190799,0.11593298033642481,-0.10810633275998974,0.061593560694426376,0.05931012579683838,-0.03095464393139903,0.0326133022242118,-0.1251113576385303,0.09240270192069011,-0.018490213644298904,-0.05227230205190395,0.10490092258368894,-0.07043436905427593,-0.14084612963635598,-0.15566291735239038,0.06060099513456396,-0.12804293524962831,0.1754794181984365,-0.20819294078837222,0.16964563682900383,0.02110174672026184,-0.00967131118703924,-0.05449190868089498,0.03991361143520709,-0.0037634702424848366,0.11033018820165215,0.011422764866203965,0.01503017614618776,-0.03636122122138559,-0.005694562372106746,0.03078017688920592,-0.17101683926566258,-0.1348185422105713,0.0743264094022715,0.017086543812794185,-0.018398333635267914,0.001843393306539316,0.03475817053616711,-0.053975968030936156,-0.07783047254023127,0.019584525509768157,-0.09783727776150321,0.04082527557144719,-0.17025836042378406,0.10291556373256437,0.0472597482413043,0.025602973431387566,0.09826909839455139,0.1665474444462577,0.10143700650181305,-0.18408742313316453,-0.12795769667357015,-0.06248185776956788,0.0026091050210833786,0.05176590204691231,-0.07257438131534656,0.018676676447707832,-0.07553829323533226,-0.061151780299194824,-0.14066610968482224,-0.09232332461109044,-0.13516846056163337,-0.09758732529773329,0.10536417966078396,-0.09493988888319431,0.2632382064837391,0.049331790088088925,0.018483612369487392,-0.08583577801812137,0.07003098794089914,-0.0575637826237774,0.012200981464536145,0.2560084538268795,-0.009605989972464988,0.11492733262856758,-0.07031764251258875,-0.00349884904969617,0.177080063563551
Mo,-0.01899872914736419,0.012168676859319163,0.1582097458372619,0.17328826605866585,-0.009586262192781157,-0.022985891653700564,0.07937720869444354,0.1445221197008083,-0.0774903205837485,0.07948016717774732,-0.12449348460980891,-0.10554595858241471,0.09595059711771518,-0.20869313891367194,-0.09982800944917607,-0.060140285877023164,-0.19337800068133526,0.07602811324611342,-0.1202970234399015,-0.10629592945767698,0.1478254202691595,-0.09973354144579709,0.014967558737320839,-0.03266366151370571,-0.029788949526795307,0.008216371320713452,-0.0613321876443854,0.04810322509472274,-0.04958715747874078,-0.08375063358728281,-0.04847825993345978,0.23699998927174104,-0.04315283007879463,-0.03454630183324266,0.07766919000306262,-0.16647284057402928,0.07076796334648777,-0.21030672417489102,-0.09484286051553767,0.005098191973985493,0.07085535082304587,0.04181483833571163,0.0029800246406762425,-0.1298869585815158,-0.20391438604146234,-0.025513921599930087,-0.05267070654105612,0.07952565748332048,-0.033566871806027576,-0.2302908316000658,-0.06868153505861788,-0.0435722639767083,-0.09761407905964822,0.012838234334821029,0.09969378099119745,0.11132654345425677,0.02073814428823338,-0.10651540856328214,0.09109539530538249,0.1462095907629895,-0.08687206075336402,-0.00840409993708016,-0.13351515986748358,-0.11033623338713014,0.15670913290964733,0.16590431448864795,0.018229406503638718,0.07883782379147031,-0.03803923074145335,-0.07493538598753283,0.09646996829403715,0.07744526381711454,-0.05633707231982991,0.16277775239310405,-0.3112072496513376,0.042564078081761755,-0.012475222262591732,-0.09818160525609422,-0.039530014657268187,-0.16358549562072386,-0.08733567789529939,-0.04418234957356724,0.1162881554974569,-0.015229246701872451,-0.09069545068916325,-0.07340475826423458,0.09375815164598778,-0.05441026067701416,-0.02824073768795226,0.07049849488151783,-0.010757668769982024,0.14716072464310975,-0.12658011433538718,0.02362923500290163,-0.03148613203345321,-0.16317912430712053,0.02861834593804203,0.02074228892744185,0.061525490485131944,-0.07729266971106537,-0.17966303616237136,0.009750612327088085,-0.06404819841186991,-0.035201073055582316,0.06884322798383458,0.02031533433437216,0.2226867064498183,-0.040226832783809036,0.0634917039756669,0.0025266077227216344,-0.1682252074218934,-0.034929991146691444,-0.07703114978425599,0.27148681448600387,-0.12240625410208499,0.014287209621234507,0.043587916350474154,-0.10727291696830141,0.2116994136909927,0.12644876089776608,0.04640827528802587,-0.08957307648690196,0.13791089596638814,-0.21929394444653444,0.011665763555809366,0.19100751723200485,-0.20086465765586567,-0.05425509954769504
钼,-0.016711808031685437,0.014671368643332284,0.12065089665083568,-0.08169356709872361,0.03686733088729012,-0.03933388123273607,0.0028744822934817487,0.12784518626072988,0.019109906801990335,0.004643654815614881,-0.13598561409799192,0.07462535660272207,0.06454841811410754,0.21632547233054603,-0.030777823495300085,0.021915032766393897,0.024938368371075527,0.15774532797634744,-0.00952955323869521,0.027902152577033924,0.060789650971653925,0.01866091231563581,-0.04464336145505283,0.01940899928983076,0.10736317498597721,-0.10265152994110603,0.0132969674146876,-0.07001208149391733,0.11950466289248425,-0.15231869047837748,-0.05589218472715884,0.03772118750645209,0.15655240292343406,-0.00657502610729878,-0.05551995266931984,0.18811570694405902,-0.1448013900416244,-0.2198805956620082,0.04400144500533324,-0.05020542243526112,-0.10212328171307133,0.07083564472993534,0.024380071377119884,-0.05640786307367284,-0.12803043986708945,0.08724573282801447,0.0650201177958661,-0.00991758637793829,0.18466369960476658,-0.10700847663261526,-0.1525525170924739,-0.06919080698812445,-0.004558601635549781,0.024333944932269185,-0.02412360578563299,0.03520553965142968,-0.1251539424190444,0.14437646040732596,-0.00821511783925688,0.11172958315881276,0.03427253463777041,0.045675321915378396,0.056976728023220395,0.0447708560017315,0.06427227598675439,0.13291525301324314,0.019652116970147016,0.07090037575885123,-0.008973569428722673,0.1440117215449473,-0.06763923020592698,0.18009404329108158,-0.0040157950644343415,-0.14307751021180481,0.012810441491078928,-0.06810516574748808,0.08406435489887241,-0.0652623979302391,-0.044618343321477974,-0.18895407309455312,-0.04523063192490767,-0.24238793266289568,-0.15839028234857233,0.07604146561442975,0.07858001586508323,0.04254575617849648,-0.0966976143129213,-0.004771135614197986,-0.0003602539090568405,-0.11583646891925428,0.15033983017671507,0.08773622905756714,-0.022096417382966395,0.002688583899453078,0.02083828079475525,-0.20417348684242909,-0.024717738252059696,-0.06819842479977986,-0.10016200098949156,-0.02811002928859549,0.17976865268495226,0.06408428612670099,-0.05711789897827968,0.05725827813561586,0.13993554365860023,0.09246336829127688,0.005963036992017413,-0.06469367777055739,0.069822331361359,0.03934853854217496,0.08951932200277324,0.06351718016819695,0.10495527153193351,-0.0535235211560568,0.13173940656343258,0.019759960469239966,0.20752608726252655,-0.06891878180895679,0.17359638031652494,0.01979107834626478,-0.06514180036144483,-0.04838858340543216,-0.03203473081943202,0.042416594640191645,0.05228354880354996,-0.0573700003938579,-0.0024354592260982843,0.21422703586118638
Nb,0.03721782306847123,-0.09747112518269718,0.08497949707393586,0.18809662287535053,-0.012063613529089152,-0.039617104455366564,0.18749338913833188,0.11075449093912543,-0.03157726010751079,0.01302539183685842,-0.03251173100568719,0.013201057184248258,-0.0056352257739831005,-0.08643105750915822,-0.1987733299505725,-0.05460840225709046,-0.1349073918337592,0.042588275055540435,-0.17791349218388486,-0.16853246007436523,0.09195881687472705,-0.015810712654039022,0.05647518924423776,-0.11017450926561809,-0.17302124049546289,0.11319574161738062,-0.10033536071118687,-0.0012551551900828184,-0.05220747304233346,-0.02035988385419306,-0.09351309707051789,0.19512365181799757,-0.031723336854808756,-0.1259891925300912,0.04794053442256469,-0.1937179294840849,0.028178183011244737,-0.16670204056216065,-0.10707442508602445,0.06068238621867407,0.09006366850028445,-0.009499446791848127,0.030418364982735386,-0.09798624655102564,-0.19288576816236674,-0.1201944244106331,0.00793892586098676,0.15285164832889536,0.05872709080909588,-0.12270752227568353,-0.011555742181119905,-0.021078472048582635,-0.0739509214497541,0.10351173407833249,0.09733874062198522,0.0738808674911158,-0.05687632639421436,0.012887220774440187,-0.0002909166019836873,0.09450072914461712,-0.10083945546661163,-0.1434689485410287,-0.10061051582991637,-0.08917539459533548,0.09435592269375609,0.038145916969363924,-0.024743483661857114,-0.01056409821335165,0.10464865788747266,-0.11881470456641674,0.0989097410238362,0.2010971388308042,-0.04861212153779824,0.09982511801801339,-0.24445599958965755,0.03997404857836883,0.0138289389317275,-0.054042114586932664,-0.07988184306973144,-0.3102802924163123,-0.010632976359021336,0.007633369834643376,0.120134913628445,-0.017033829872675474,-0.02217724645769653,-0.06380294042654412,0.07451027642471435,0.05788226262166264,-0.12082279886168265,0.06248439604872046,0.037302053525911746,0.13087600947417038,-0.1670429445128585,-0.07083397815022385,-0.08312397795438911,-0.1413571470927512,0.0536492566948568,0.100941047590288,-0.024236928354157566,-0.048337338252975384,-0.08405347326110409,-0.027235685350020654,0.029111123906721742,-0.06579132677167009,-0.07398440210226445,-0.02625133205743649,0.11104297766810657,0.05056037302110755,0.08518488022662685,0.08502351549270233,-0.14972185491374215,0.055490541331827604,-0.022977795638581593,0.18850342041133578,0.023267870142765414,0.05103877184533129,0.0019010417465202961,-0.09749922973030373,0.13044155557441234,0.13938414626135548,0.1438524739451525,-0.06372772786245653,0.18256957472175633,-0.1144819786579893,0.03562722277829609,0.25687379632665486,-0.16877838595603192,-0.0039351953454830335
铌,-0.06389617476895022,-0.13230897934074984,0.16420151601363692,0.10098170893426342,-0.06881503451777238,0.2252435805344309,0.09817654869915943,-0.032483138350862244,-0.24994057148735732,0.22909425725907417,-0.1389572466763596,-0.1645398746956892,0.10225704320096403,0.24397524063392728,0.13842728185105183,0.056390912005235966,0.0594754341665286,0.08534155587803077,0.07589285897867652,0.02811914239693758,0.010420110395187608,-0.006259312789952242,-0.07539645888666763,-0.028067507686677408,-0.16929568141953855,-0.00983396267947499,-0.09885911071509175,-0.1103589317215771,0.017989415115347848,0.13920022863445994,0.0918316606002313,-0.15705006036231772,-0.09896281365703376,0.0940771187988216,-0.09824873935383097,-0.02246331499970246,0.05500520990245519,-0.09683444548636354,0.010537550614595992,-0.13340254949182045,-0.06013676439512137,0.031978193414253696,-0.15929937335316693,0.044047473796039904,-0.001963779892668122,0.05524899544171478,0.022391413406466144,0.13641404299738444,0.012522450264790728,-0.0429405541125253,0.012229750303228377,0.05432980290363879,0.004886007032570434,0.004059169120388238,-0.07019916878067554,-0.06629009175509482,-0.14026052717996937,0.17495767431869394,-0.12438632353912851,-0.06929051977959073,-0.07184072655691974,0.08949243769444414,-0.02949496782920278,0.12477420726737339,-0.06734906242438686,0.027899416222380197,-0.08353470532597573,0.21451491277733883,-0.11875984190295129,0.030982071022702753,0.06337768809320986,0.04137990974514982,-0.018528765887770828,-0.012982069973342617,0.0043811471979109595,-0.014700200162848863,0.09638791167949097,0.22105230015913513,-0.05574917850078336,-0.13698029795790778,-0.008828204835125482,0.25797093376543184,-0.08036745679697309,0.16391168054440675,0.16777008140764407,-0.05535882417079946,0.05689830791852754,0.16283966231285382,-0.037912774098748714,-0.02035803601023618,-0.058168091394864375,-0.10147567306928669,-0.06492775450660071,-0.12239402667622566,0.0034083468259226072,-0.07699732310586418,0.023378591179074773,-0.15558956462036275,0.03308802322144571,0.08335289616089248,-0.19937356425714556,0.037405656984757216,0.12276689924732923,-0.12096410186912054,0.16725723868377035,0.04190190093660452,-0.07050118557584088,-0.005576907765770601,0.055832691252172245,0.007600539141241151,0.05387559924463692,-0.09206735930793664,0.0169360824036078,-0.14137144969049803,-0.011122606134870032,-0.09039076414647898,-0.07355299425897666,0.12360931752104375,0.10913101205942691,0.0609138120907177,-0.1092312764672579,-0.03164084496948019,0.12130976999791834,0.014171691363990475,0.23193295399816943,0.03933178393943719,0.019204911649003162,-0.03091164642025014
